ID,DELIVERY_DATE,DELIVERY_TIME,DELIVERY_MODE,DELIVERY_STATUS,INVOICE_AMOUNT,TAXES,CATERING_COST,SHOW_PRICE,DISCOUNT,GUEST_COUNT,PER_PERSON_RATE,LIVE_STALL_CHARGE,SETUP_CHARGE,EVENT_FACILITY_FEE,SERVER_CHARGE,GRATUITY,CATERING_STATUS,CATERING_LOCATION
1909,6/11/2023,11:30:00,30,\N,145,10.88,155.88,9,0,15,0,0,0,\N,0,0,CONFIRMED,raleigh
1910,6/10/2023,17:00:00,30,\N,155,11.63,166.63,9,0,5,0,0,0,\N,0,0,CONFIRMED,chapel
1912,6/11/2023,17:30:00,30,\N,65,0,65,9,0,15,0,0,0,\N,0,0,CONFIRMED,chapel
1913,6/12/2023,17:30:00,30,\N,830,0,830,9,0,10,0,0,0,\N,0,0,CONFIRMED,chapel
1914,9/23/2023,12:00:00,31,\N,1305,0,1380,9,0,65,0,0,75,\N,0,0,CANCELLED,undecided
1915,11/4/2023,17:00:00,32,\N,1140,0,1290,9,0,100,0,0,150,\N,0,0,CANCELLED,undecided
1916,6/24/2023,17:15:00,31,\N,615,0,190,9,500,60,0,0,75,\N,0,0,CONFIRMED,raleigh
1917,6/18/2023,11:00:00,30,\N,625,0,625,9,0,120,0,0,0,\N,0,0,CANCELLED,raleigh
1919,6/5/2023,16:00:00,30,\N,155,0,155,9,0,12,0,0,0,\N,0,0,CONFIRMED,raleigh
1920,6/13/2023,15:00:00,30,\N,240,0,240,9,0,1,0,0,0,\N,0,0,CONFIRMED,raleigh
1921,6/25/2023,13:00:00,32,\N,3680,0,4230,9,0,200,0,0,150,\N,400,0,CANCELLED,undecided
1922,7/1/2023,10:30:00,30,\N,1112.5,0,1112.5,9,0,40,0,0,0,\N,0,0,CONFIRMED,durham
1923,6/25/2023,17:30:00,32,\N,4830,0,4980,9,0,200,0,0,150,\N,0,0,CANCELLED,undecided
1924,6/16/2023,17:30:00,30,\N,140,0,140,9,0,1,0,0,0,\N,0,0,CONFIRMED,chapel
1925,6/25/2023,11:00:00,31,\N,740,0,815,9,0,60,0,0,75,\N,0,0,CANCELLED,undecided
1926,6/20/2023,18:00:00,30,\N,150,0,150,9,0,35,0,0,0,\N,0,0,CONFIRMED,chapel
1927,6/18/2023,11:45:00,30,\N,317,0,17,9,300,1,0,0,0,\N,0,0,CONFIRMED,raleigh
1928,6/24/2023,11:30:00,30,\N,586,0,586,9,0,25,0,0,0,\N,0,0,CONFIRMED,chapel
1929,6/24/2023,18:00:00,30,\N,254,0,254,9,0,25,0,0,0,\N,0,0,CONFIRMED,chapel
1930,6/18/2023,10:30:00,30,\N,465,0,420,9,45,50,0,0,0,\N,0,0,CONFIRMED,durham
1931,6/18/2023,17:15:00,30,\N,70,5.25,75.25,9,0,15,0,0,0,\N,0,0,CONFIRMED,chapel
1932,6/19/2023,7:00:00,30,\N,145,0,145,9,0,1,0,0,0,\N,0,0,CONFIRMED,raleigh
1933,6/21/2023,17:45:00,31,\N,1350,0,1425,9,0,30,0,0,75,\N,0,0,CONFIRMED,durham
1934,6/20/2023,10:15:00,31,\N,595,44.63,714.63,9,0,1,0,0,75,\N,0,0,CONFIRMED,durham
1935,7/8/2023,14:00:00,32,\N,8057.5,0,7200,8,2157.5,400,0,400,150,\N,750,0,CONFIRMED,chapel
1936,6/24/2023,11:00:00,30,\N,650,0,600,9,50,30,0,0,0,\N,0,0,CONFIRMED,raleigh
1937,8/12/2023,16:30:00,32,\N,4557.5,0,4857.5,9,0,300,0,0,150,\N,150,0,CANCELLED,chapel
1938,7/1/2023,11:00:00,30,\N,300,0,300,9,0,30,0,0,0,\N,0,0,CONFIRMED,raleigh
